Time (sec)	L-shell	10 MeV/G	32 MeV/G	100 MeV/G	320 MeV/G	1000 MeV/G	3200 MeV/G	10000 MeV/G	32000 MeV/G	100000 MeV/G	320000 MeV/G
411628505	9.9499	0.001417861	0.000183032	2.3007E-05	2.42229E-06	2.21831E-07	1.57467E-08	9.87953E-10	5.10136E-11	2.55391E-12	1.13281E-13
297024905	9.9500	0.001153215	0.000107352	1.0917E-05	1.10959E-06	1.1833E-07	1.10164E-08	8.97535E-10	5.37091E-11	2.58988E-12	9.11351E-14
291574505	9.9515	0.010633216	0.00048543	2.57148E-05	1.45543E-06	9.68647E-08	6.33896E-09	4.32398E-10	2.68728E-11	1.70367E-12	9.90929E-14
343924505	9.9527	0.000133136	3.05855E-05	6.37554E-06	1.01855E-06	1.25654E-07	1.09672E-08	7.84577E-10	4.40782E-11	2.32313E-12	1.06506E-13
397499105	9.9560	8.86488E-05	2.24758E-05	5.1323E-06	8.9085E-07	1.17579E-07	1.08188E-08	8.02276E-10	4.61164E-11	2.46084E-12	1.13475E-13
312072905	9.9583	0.000746643	5.79842E-05	5.05063E-06	4.57156E-07	4.60794E-08	4.34907E-09	3.90271E-10	2.83876E-11	1.82479E-12	9.39449E-14
263504705	9.9590	0.001075626	7.62613E-05	5.99512E-06	4.7742E-07	4.14933E-08	3.36321E-09	2.71283E-10	1.94348E-11	1.3907E-12	9.05006E-14
263504105	9.9609	0.001441621	9.22252E-05	6.64717E-06	4.96062E-07	4.15379E-08	3.31417E-09	2.66923E-10	1.92262E-11	1.3864E-12	9.09645E-14
411705905	9.9612	0.094455174	0.003087711	0.000109187	3.89485E-06	1.71884E-07	8.23812E-09	4.66272E-10	2.65702E-11	1.66824E-12	1.0114E-13
378410105	9.9617	0.003245325	0.000183951	1.20093E-05	8.36669E-07	6.76007E-08	5.27544E-09	4.09573E-10	2.71991E-11	1.71139E-12	9.24446E-14
247646705	9.9631	0.000656548	6.77437E-05	7.41949E-06	7.7713E-07	8.13114E-08	7.2339E-09	5.77937E-10	3.71097E-11	2.19616E-12	1.10591E-13
251325305	9.9639	0.000793997	0.000124013	1.66043E-05	1.60186E-06	1.25651E-07	7.9412E-09	4.88267E-10	2.71417E-11	1.56642E-12	8.4223E-14
347300105	9.9640	8.03389E-05	2.12197E-05	4.97441E-06	8.67146E-07	1.12553E-07	1.00775E-08	7.28264E-10	4.10388E-11	2.16267E-12	9.90063E-14
331237505	9.9641	0.000122915	2.07407E-05	3.40702E-06	4.74847E-07	5.73737E-08	5.34902E-09	4.2877E-10	2.76805E-11	1.68544E-12	8.97415E-14
263505305	9.9642	0.000844062	6.49302E-05	5.46993E-06	4.59043E-07	4.11631E-08	3.38671E-09	2.74179E-10	1.95945E-11	1.39483E-12	9.01799E-14
263497505	9.9647	0.064294721	0.001132951	2.80911E-05	9.35598E-07	4.68837E-08	2.80615E-09	2.04929E-10	1.53886E-11	1.27485E-12	1.02918E-13
279216305	9.9669	0.001522491	8.27906E-05	5.30384E-06	3.78052E-07	3.3142E-08	3.01133E-09	2.87027E-10	2.37286E-11	1.70737E-12	8.61062E-14
263503505	9.9672	0.001760046	0.000108735	7.51899E-06	5.32287E-07	4.20862E-08	3.19102E-09	2.49776E-10	1.79886E-11	1.3323E-12	9.1753E-14
403534505	9.9687	0.000413727	4.78078E-05	5.60981E-06	5.89852E-07	5.84191E-08	4.82854E-09	3.70719E-10	2.43863E-11	1.58214E-12	9.26717E-14
279273905	9.9730	0.007815612	0.000305914	1.44746E-05	7.80276E-07	5.35621E-08	3.8767E-09	3.02315E-10	2.13119E-11	1.45195E-12	8.43398E-14
260563505	9.9763	0.008019882	0.000374279	2.07984E-05	1.30123E-06	1.02113E-07	8.36893E-09	7.18906E-10	5.21853E-11	3.04506E-12	9.81449E-14
263453705	9.9766	0.051347673	0.000917352	2.30115E-05	7.80628E-07	4.02159E-08	2.49184E-09	1.88813E-10	1.47418E-11	1.26957E-12	1.06661E-13
263505905	9.9771	0.001156563	7.68465E-05	5.78037E-06	4.54954E-07	4.04812E-08	3.43109E-09	2.87752E-10	2.08574E-11	1.4539E-12	8.88495E-14
263502905	9.9780	0.003368592	0.000159133	8.87836E-06	5.47836E-07	4.13293E-08	3.18284E-09	2.583E-10	1.89751E-11	1.38075E-12	8.96681E-14
326111705	9.9812	0.000240833	4.07087E-05	6.52781E-06	8.52924E-07	9.3548E-08	7.82414E-09	5.71582E-10	3.44014E-11	2.00188E-12	1.03633E-13
260509505	9.9826	0.002691396	0.000170187	1.24093E-05	9.76308E-07	9.01174E-08	8.13706E-09	7.14302E-10	4.90602E-11	2.62719E-12	8.85732E-14
263498105	9.9879	0.049863912	0.00100205	2.72066E-05	9.50651E-07	4.84588E-08	2.9082E-09	2.11584E-10	1.57803E-11	1.29678E-12	1.03752E-13
378409505	9.9891	0.007827859	0.000316767	1.5512E-05	8.70404E-07	6.2749E-08	4.83988E-09	4.05444E-10	3.02573E-11	2.00566E-12	9.09044E-14
263502305	9.9897	0.005714671	0.000221459	1.04383E-05	5.67853E-07	4.01591E-08	3.08354E-09	2.62857E-10	2.07295E-11	1.54782E-12	8.93301E-14
